"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"46","QM","None",0.1,76,14,15,105,194
"44","QM","None",0.08,70,14,15,99,182
"45","QM","None",0.09,70,13,16,99,187
"41","QM","None",0.05,67,14,16,97,141
"42","QM","None",0.06,65,12,14,91,163
"43","QM","None",0.07,65,10,14,89,169
"35","QM","None",0.008,59,7,12,78,66
"37","QM","None",0.01,55,7,13,75,71
"38","QM","None",0.02,54,7,14,75,91
"24","QM","None",6e-04,56,6,11,73,22
"28","QM","None",0.001,53,7,13,73,28
"26","QM","None",8e-04,55,5,12,72,25
"27","QM","None",9e-04,55,5,12,72,25
"33","QM","None",0.006,50,9,13,72,63
"34","QM","None",0.007,53,7,12,72,65
"36","QM","None",0.009,54,7,11,72,69
"40","QM","None",0.04,49,8,15,72,122
"184","QM","VSN-G",0.1,42,11,19,72,498
"25","QM","None",7e-04,53,5,13,71,24
"39","QM","None",0.03,46,9,14,69,111
"32","QM","None",0.005,49,8,11,68,60
"166","QM","VSN-G",0.001,43,10,14,67,115
"31","QM","None",0.004,43,8,14,65,50
"178","QM","VSN-G",0.04,41,8,16,65,348
"179","QM","VSN-G",0.05,42,8,15,65,375
"183","QM","VSN-G",0.09,41,8,16,65,473
"351","QM","Quantile",0.002,42,9,13,64,134
"164","QM","VSN-G",8e-04,42,7,13,62,110
"176","QM","VSN-G",0.02,36,12,14,62,273
"180","QM","VSN-G",0.06,40,7,15,62,403
"181","QM","VSN-G",0.07,36,10,16,62,421
"165","QM","VSN-G",9e-04,41,7,13,61,111
"352","QM","Quantile",0.003,41,7,13,61,147
"354","QM","Quantile",0.005,40,7,14,61,173
"29","QM","None",0.002,46,4,10,60,37
"158","QM","VSN-G",2e-04,41,8,11,60,69
"160","QM","VSN-G",4e-04,43,7,10,60,87
"172","QM","VSN-G",0.007,36,11,13,60,188
"159","QM","VSN-G",3e-04,41,7,11,59,78
"169","QM","VSN-G",0.004,37,8,14,59,163
"30","QM","None",0.003,39,6,13,58,45
"155","QM","VSN-G",8e-05,41,5,12,58,59
"177","QM","VSN-G",0.03,33,9,15,57,304
"346","QM","Quantile",6e-04,40,7,10,57,98
"353","QM","Quantile",0.004,38,5,14,57,162
"355","QM","Quantile",0.006,37,7,13,57,186
"357","QM","Quantile",0.008,35,6,16,57,208
"173","QM","VSN-G",0.008,37,6,13,56,201
"358","QM","Quantile",0.009,35,6,15,56,219
"162","QM","VSN-G",6e-04,38,8,9,55,99
"163","QM","VSN-G",7e-04,39,6,10,55,106
"168","QM","VSN-G",0.003,38,4,13,55,145
"182","QM","VSN-G",0.08,31,8,16,55,445
"350","QM","Quantile",0.001,40,4,11,55,113
"23","QM","None",5e-04,36,7,11,54,20
"356","QM","Quantile",0.007,34,5,15,54,194
"365","QM","Quantile",0.07,34,7,13,54,479
"154","QM","VSN-G",7e-05,37,5,11,53,57
"343","QM","Quantile",3e-04,36,6,11,53,74
"171","QM","VSN-G",0.006,35,3,14,52,185
"167","QM","VSN-G",0.002,35,3,13,51,137
"175","QM","VSN-G",0.01,31,7,13,51,211
"359","QM","Quantile",0.01,33,6,12,51,224
"156","QM","VSN-G",9e-05,33,5,12,50,60
"157","QM","VSN-G",1e-04,33,5,12,50,60
"161","QM","VSN-G",5e-04,38,3,9,50,94
"170","QM","VSN-G",0.005,33,5,12,50,173
"368","QM","Quantile",0.1,29,6,14,49,560
"174","QM","VSN-G",0.009,29,6,13,48,207
"348","QM","Quantile",8e-04,34,4,10,48,107
"349","QM","Quantile",9e-04,33,4,11,48,112
"362","QM","Quantile",0.04,29,7,12,48,395
"347","QM","Quantile",7e-04,32,5,10,47,104
"361","QM","Quantile",0.03,26,9,12,47,346
"87","QM","Loess-G",0.05,34,5,7,46,105
"153","QM","VSN-G",6e-05,32,4,9,45,52
"360","QM","Quantile",0.02,26,7,12,45,302
"363","QM","Quantile",0.05,28,6,11,45,426
"85","QM","Loess-G",0.03,33,5,5,43,77
"128","QM","RLR-G",0.009,30,4,9,43,110
"129","QM","RLR-G",0.01,32,2,9,43,114
"345","QM","Quantile",5e-04,32,1,10,43,90
"364","QM","Quantile",0.06,25,6,12,43,451
"367","QM","Quantile",0.09,27,4,12,43,529
"127","QM","RLR-G",0.008,30,3,9,42,107
"366","QM","Quantile",0.08,23,6,13,42,503
"86","QM","Loess-G",0.04,32,4,4,40,92
"134","QM","RLR-G",0.06,23,6,11,40,262
"130","QM","RLR-G",0.02,30,1,8,39,160
"344","QM","Quantile",4e-04,26,3,10,39,80
"126","QM","RLR-G",0.007,27,2,9,38,106
"133","QM","RLR-G",0.05,24,5,9,38,229
"135","QM","RLR-G",0.07,22,7,9,38,285
"136","QM","RLR-G",0.08,20,7,11,38,312
"339","QM","Quantile",8e-05,26,3,9,38,50
"88","QM","Loess-G",0.06,29,1,7,37,118
"122","QM","RLR-G",0.003,31,1,5,37,78
"137","QM","RLR-G",0.09,20,7,10,37,338
"138","QM","RLR-G",0.1,20,8,9,37,358
"340","QM","Quantile",9e-05,25,3,9,37,54
"341","QM","Quantile",1e-04,25,4,8,37,55
"123","QM","RLR-G",0.004,30,1,5,36,88
"124","QM","RLR-G",0.005,30,1,5,36,92
"342","QM","Quantile",2e-04,25,4,7,36,66
"92","QM","Loess-G",0.1,28,1,6,35,162
"125","QM","RLR-G",0.006,28,2,5,35,101
"132","QM","RLR-G",0.04,27,1,7,35,208
"151","QM","VSN-G",4e-05,28,0,7,35,45
"152","QM","VSN-G",5e-05,28,0,7,35,47
"131","QM","RLR-G",0.03,24,1,9,34,187
"90","QM","Loess-G",0.08,25,1,7,33,144
"89","QM","Loess-G",0.07,24,1,7,32,134
"91","QM","Loess-G",0.09,22,1,9,32,151
"331","QM","Quantile",9e-06,27,3,2,32,30
"332","QM","Quantile",1e-05,27,3,2,32,30
"84","QM","Loess-G",0.02,24,3,4,31,59
"549","T","VSN-G",0.07,27,2,1,30,29
"333","QM","Quantile",2e-05,21,3,5,29,35
"338","QM","Quantile",7e-05,18,3,8,29,47
"336","QM","Quantile",5e-05,16,3,7,26,42
"550","T","VSN-G",0.08,23,2,1,26,37
"22","QM","None",4e-04,18,3,4,25,17
"334","QM","Quantile",3e-05,19,3,3,25,38
"337","QM","Quantile",6e-05,15,3,7,25,45
"438","T","Loess-G",6e-04,22,3,0,25,6
"439","T","Loess-G",7e-04,22,3,0,25,6
"440","T","Loess-G",8e-04,22,3,0,25,6
"551","T","VSN-G",0.09,21,2,1,24,41
"725","T","Quantile",0.008,19,3,2,24,9
"446","T","Loess-G",0.005,18,3,2,23,11
"58","QM","Loess-G",3e-05,16,3,3,22,2
"59","QM","Loess-G",4e-05,16,3,3,22,2
"60","QM","Loess-G",5e-05,16,3,3,22,2
"61","QM","Loess-G",6e-05,16,3,3,22,2
"62","QM","Loess-G",7e-05,16,3,3,22,2
"455","T","Loess-G",0.05,19,2,1,22,28
"519","T","VSN-G",4e-05,17,3,2,22,3
"520","T","VSN-G",5e-05,17,3,2,22,3
"521","T","VSN-G",6e-05,17,3,2,22,3
"522","T","VSN-G",7e-05,17,3,2,22,3
"523","T","VSN-G",8e-05,17,3,2,22,3
"524","T","VSN-G",9e-05,17,3,2,22,3
