"0","1","1","1","1","1","1","1","2","2","2","2","2","2","LogFC","Zstatistic"
"sp|O95865|DDAH2_HUMAN","628914.835692295","845560.342779611","1643332.169","1514523.17579399","3070609.58631267","2791040.88815027","313731.680832273","1078677.05212911","1315892.47413795","1953630.68062926","2437897.69561314","1676003.03793157","1898305.262801",0.538179172479898,0.00567252094957481
"sp|P05452|TETN_HUMAN","427643.689979271","371598.348361263","1759011.138","1463877.30621534","1677385.24243969","1822654.1163905","384605.306083791","782259.682377226","798106.681267614","3047754.12814039","3239988.13544477","615025.327785917","555826.808592836",4.5373500524665,0.0477492055177894
"sp|O43143|DHX15_HUMAN","311147.161095","366645.198562595","575463.4742","473322.405782179","1356816.71332248","1359251.75941486","174088.508527066","3049751.45644498","2751562.62921249","2784934.45400944","2865827.38729425","3281737.35699721","4013998.55215814",-1.13406831733642,-0.0111642542678063
"sp|Q9UHD8|SEPT9_HUMAN","284526.336098755","299914.91223102","262472.9318","315076.268276795","635542.458133576","677173.849101964","140595.270495692","667765.540748771","515736.31685319","871754.525242434","943537.575257778","1304524.09291917","1529043.19630054",2.55550691174213,0.0260711431570678
"sp|P07358|CO8B_HUMAN","106670.615838843","95652.997660341","419119.6858","419279.022940347","306300.545700895","301670.053728737","161996.061530378","235573.373328071","258146.386472155","988784.550882145","1152288.74835636","461084.133059995","480238.275076355",4.55432466593565,0.0440897430113737
"sp|P15259|PGAM2_HUMAN","1272773.14203056","3779791.61213942","3665602.878","3050336.10367417","7452538.78486247","7207725.93342935","1229151.85900088","8605313.52639912","8470816.34631677","23406914.7644326","27330117.5155737","11278419.977101","11006245.7726929",1.93032905200336,0.018134212859443
"sp|P07108|ACBP_HUMAN","868951.687548495","972908.622339428","1641837.205","1389357.1530083","2047218.21560839","1888768.60898421","273668.759285031","2307003.7741681","2382573.86283922","1269209.56469538","1557087.39198123","1548565.90677089","1885331.09741741",3.36477115859289,0.0328264508749302
"sp|P09488|GSTM1_HUMAN","92219.3632445009","120061.801264444","579531.3263","358168.00208353","225540.696321473","276475.047403526","2036.56702372864","3856458.91091181","3651845.35850109","486281.197501834","512611.602682025","8640265.65233111","6591855.06225962",-4.22413333194416,-0.0431363910435887
"sp|P38919|IF4A3_HUMAN","112539.368655275","79708.7252169244","187408.5873","157389.857235655","227473.452268564","235504.571679677","81951.9234008255","833861.405513784","760380.737325156","608297.148747369","576828.258954221","984371.427995429","1168570.45141571",1.64467210217308,0.0165543578675804
