"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"1","sp|Q9NVA2|SEP11_HUMAN","9.427576e+06","7.898709e+06","1.059945e+07","1.222826e+07","8.758280e+06","6.391273e+06","2.343253e+07","2.679713e+07","3.337694e+07","3.264139e+07","2.322179e+07","2.269957e+07","1.637463e+07","1.628253e+07","2.048876e+07","2.180132e+07","1.901165e+07","2.029439e+07","3.396076e+07","3.507087e+07","2.793575e+07","3.366144e+07","2.358845e+07","2.841169e+07","1.172931e+07","1.354367e+07","1.887753e+07","2.124564e+07","4.506787e+07","3.597102e+07","1.583977e+07","1.010812e+07","6.11735015386829e-09","1.88353211237605e-05"
"2","sp|P30085|KCY_HUMAN","2.583456e+06","2.104813e+06","2.962170e+06","2.781127e+06","2.772956e+06","2.788115e+06","3.440089e+06","3.171735e+06","3.296816e+06","3.343385e+06","3.557652e+06","3.792750e+06","3.670143e+06","3.926270e+06","6.565651e+06","5.887286e+06","6.763715e+06","5.701351e+06","3.587406e+06","3.962331e+06","4.942836e+06","5.093205e+06","4.672382e+06","5.224904e+06","5.790335e+06","5.348868e+06","3.052790e+06","3.065588e+06","3.465353e+06","3.636706e+06","7.649765e+06","6.971143e+06","3.16027074137942e-07","0.000293034385507516"
"3","sp|Q9NQP4|PFD4_HUMAN","1.249619e+06","9.094040e+05","1.626619e+06","1.686196e+06","2.160834e+06","1.734821e+06","1.771550e+06","2.112383e+06","2.969195e+06","2.929623e+06","3.434986e+06","4.287663e+06","2.507116e+06","2.468127e+06","4.858122e+06","5.040911e+06","5.043137e+06","5.287288e+06","3.045077e+06","2.923691e+06","3.486393e+06","3.409301e+06","3.030344e+06","2.966504e+06","4.506195e+06","4.636572e+06","3.347434e+06","3.166541e+06","3.607920e+06","3.792128e+06","4.266963e+06","3.866580e+06","3.47452878492133e-07","0.000293034385507516"
"4","sp|Q16891|MIC60_HUMAN","3.594360e+07","3.607483e+07","4.125734e+07","3.990946e+07","4.225869e+07","3.955238e+07","6.302147e+07","6.345068e+07","5.912196e+07","5.821711e+07","4.644359e+07","4.091306e+07","2.925040e+07","3.170397e+07","5.787701e+07","5.881652e+07","5.889241e+07","5.728938e+07","6.091616e+07","5.836685e+07","5.546954e+07","5.577335e+07","4.495157e+07","4.787763e+07","5.060384e+07","4.800918e+07","5.230550e+07","5.049821e+07","6.809168e+07","6.592047e+07","5.244725e+07","4.780272e+07","3.80687736937338e-07","0.000293034385507516"
"5","sp|P60953|CDC42_HUMAN","3.050099e+06","2.865537e+06","4.461159e+06","3.927090e+06","3.692584e+06","4.047641e+06","7.849037e+06","7.022697e+06","9.012506e+06","7.950835e+06","1.102114e+07","1.251617e+07","1.536662e+06","1.250585e+06","4.117912e+06","4.604265e+06","7.748679e+06","9.991803e+06","6.954594e+06","7.816083e+06","7.786946e+06","8.913406e+06","9.643077e+06","9.732971e+06","1.166849e+07","9.182032e+06","8.416431e+06","7.006057e+06","3.531377e+06","3.659206e+06","1.231982e+07","9.975018e+06","6.64010693607427e-07","0.000383972054111152"
"6","sp|Q9BXS5|AP1M1_HUMAN","9.992387e+05","9.385735e+05","1.039824e+06","9.613027e+05","1.024908e+06","1.017802e+06","1.006623e+06","1.199299e+06","1.291328e+06","1.420369e+06","1.304820e+06","1.375684e+06","1.322262e+06","1.162787e+06","2.671367e+06","2.798613e+06","2.178319e+06","2.367563e+06","1.512168e+06","1.434408e+06","1.447170e+06","1.543220e+06","1.505037e+06","1.538657e+06","1.799378e+06","1.794045e+06","9.569574e+05","1.016351e+06","1.889300e+06","1.573444e+06","2.081338e+06","1.780033e+06","7.48240443217575e-07","0.000383972054111152"
"7","sp|Q8IUD2|RB6I2_HUMAN","5.553463e+05","7.255172e+05","4.111291e+05","4.700721e+05","3.769281e+05","3.031064e+05","9.713278e+05","9.498032e+05","9.648162e+05","1.036547e+06","7.042975e+05","7.263160e+05","5.310038e+05","5.300284e+05","1.466701e+06","1.473658e+06","2.143731e+06","2.193183e+06","1.226505e+06","1.094702e+06","1.066661e+06","9.883397e+05","9.164823e+05","8.566569e+05","2.336821e+06","2.486081e+06","1.723679e+06","1.670495e+06","5.802664e+05","7.416153e+05","1.907352e+06","1.537836e+06","1.14126698937903e-06","0.000452817673982203"
"8","sp|Q86VS8|HOOK3_HUMAN","2.436798e+04","3.333527e+04","4.006214e+04","7.276545e+04","3.007843e+04","3.017713e+04","3.637148e+04","3.926394e+04","1.178353e+05","9.937337e+04","1.436100e+05","8.740958e+04","5.723444e+04","7.528758e+04","2.084825e+05","1.998365e+05","1.773985e+05","2.137022e+05","6.977006e+04","6.918378e+04","9.573081e+04","1.226588e+05","1.761084e+05","1.127116e+05","2.512082e+05","1.960884e+05","1.039026e+05","1.228261e+05","7.490091e+04","6.594784e+04","1.319814e+05","1.275925e+05","1.17653179339319e-06","0.000452817673982203"
"9","sp|Q01433|AMPD2_HUMAN","6.411887e+05","7.139232e+05","4.658970e+05","5.773306e+05","2.998287e+05","4.217390e+05","9.190176e+05","1.110577e+06","1.230597e+06","1.225699e+06","8.673931e+05","8.922537e+05","6.725517e+05","7.305103e+05","2.741637e+06","2.768172e+06","2.759845e+06","2.888068e+06","1.181385e+06","1.105140e+06","1.376505e+06","1.382673e+06","1.376657e+06","1.327212e+06","9.899059e+05","9.047144e+05","9.589854e+05","1.117071e+06","1.188830e+06","1.368439e+06","1.279288e+06","1.181319e+06","1.52502194116493e-06","0.000521726950760756"
