"0","1","1","1","2","2","2","LogFC","Zstatistic"
"sp|P04114|APOB_HUMAN;sp|Q9ULK0|GRID1_HUMAN;sp|O75964|ATP5L_HUMAN;sp|Q7Z4Y8|AT5L2_HUMAN","34.7028671397431","34.4331443514928","34.6886721352346","34.0106818344525","33.7713694998038","34.0808074714252",-0.656840608768301,-3.10139999390154
"sp|P01024|CO3_HUMAN","36.9348034343023","36.7501874722343","36.6329532493057","36.1195033816617","35.8413811377332","35.8118381355237",-0.847498774436941,-3.51765875800064
"sp|P0C0L5|CO4B_HUMAN","31.4142221873073","31.6962761793292","31.7630067884975","29.9921942344987","30.0719676317387","30.0378191430356",-1.57835588299954,-7.36480489395578
"sp|ALBU_HUMAN|;sp|Q8WY91|THAP4_HUMAN;sp|O75683|SURF6_HUMAN;sp|Q96JG6|CC132_HUMAN","38.2423745545106","38.9013744188058","38.1977585277254","37.539521463619","36.8377761008059","37.1086101723591",-1.26300074293251,-3.47379268678365
"sp|P0C0L4|CO4A_HUMAN","30.0305316893255","28.7779286023273","29.2104318760156","28.0070221769621","27.9264559884","27.8604240418953",-1.3865586610574,-3.33050507792724
"sp|P01023|A2MG_HUMAN","35.8373101222196","35.6988678644294","35.8284379641924","36.2947797320426","36.2573163863112","36.1444125785275",0.449775856252571,2.27280562786661
"sp|P02751|FINC_HUMAN","33.0379164361041","33.0722213350022","32.7486509121526","32.9817022077547","32.6016627817342","32.1455954611031",-0.40715573958844,-1.32067898909596
"sp|P08603|CFAH_HUMAN;sp|Q02985|FHR3_HUMAN","33.6689336940259","33.7256061287129","33.4951510157203","33.4785798937904","33.291982046969","33.092598852645",-0.332001633417423,-1.49338740348274
"sp|P98160|PGBM_HUMAN","28.638121869428","28.1790365356842","27.1611967855469","27.7993458208868","28.1020079589915","27.7927312285987",-0.113213727084516,-0.233847512442019
"sp|P12111|CO6A3_HUMAN","28.7504177524131","28.7448768717466","28.8591165575028","28.1049386355836","28.3389818561168","28.0769825590626",-0.624985266938091,-3.04192915744206
"sp|P01031|CO5_HUMAN","29.8406209864307","29.9613775021653","30.023101046604","29.6424523416667","29.2527740516354","29.0380572908929",-0.627550459732008,-2.47592584534601
"sp|Q9Y6R7|FCGBP_HUMAN","28.9372349940426","29.0250741778503","28.8304198603059","29.6962812053055","29.558926634546","28.8861071138862",0.430592644523859,1.43006486638961
"sp|P00450|CERU_HUMAN","34.7360337024265","34.6012652191032","34.1037160205131","34.073874827149","33.9883532461331","33.9829611619528",-0.467571782394151,-1.71628271286441
"sp|P02671|FIBA_HUMAN","33.5738095377132","34.1570868910291","33.2241012882443","33.4991897744193","33.0887726987707","33.0327286111451",-0.433279377043748,-1.23783454464871
"sp|P04275|VWF_HUMAN","27.9916744568107","28.2096405856426","28.1367674757505","27.7833021068009","27.494404689483","27.5019348060392",-0.528051712258289,-2.29864536625693
"sp|TRFE_HUMAN|","31.2327926752692","32.6989179155479","32.7462524976477","28.7136990470347","28.2093865317562","27.7741302136643",-3.96711494470086,-6.90872533113936
"sp|P00747|PLMN_HUMAN","32.4009826273724","33.5691875792374","32.122388188989","31.2666316287678","31.6202865654842","30.9830693944538",-1.39998436982786,-2.76237954258894
"sp|CO5_HUMAN|;Int_P01031ups|CO5_HUMAN_UPS","28.6200426081734","28.7860745621359","28.488614182467","27.8668779104913","27.5518187713763","27.3656992887223",-1.01486844336322,-3.34541476627558
"sp|P02774|VTDB_HUMAN","34.3809423586216","34.3920396450618","33.9764825985523","33.0320743680238","33.0519369091648","32.7016092873056",-1.31187023371765,-3.99116303824977
"sp|Q14624|ITIH4_HUMAN","33.0143186173374","33.0701380843158","32.6849584489873","31.7724840069358","32.0618906625613","31.7589371691757",-1.04780833942362,-4.33072786144546
"sp|P06727|APOA4_HUMAN;sp|Q9BT92|TCHP_HUMAN;sp|Q14980|NUMA1_HUMAN;sp|Q15020|SART3_HUMAN;sp|P61129|ZC3H6_HUMAN","32.4625183083188","32.993064288176","34.1407097429836","33.5195093709146","33.1246913425772","33.1613102696271",0.0571511414252047,0.121963281157228
"sp|P10643|CO7_HUMAN","32.2327192306559","32.2612519507017","31.9116745532863","33.4785798937904","33.0394463025187","32.6435500140018",0.898294582951633,2.78924894558551
"sp|P20742|PZP_HUMAN","27.3464016846366","27.741580464476","28.4228559432616","25.3296120136829","25.2508367896837","24.6373103150395",-2.74394106690033,-5.56193850252858
