"","X","Protein","X0","X0.1","X0.2","X0.3","X0.4","X0.5","X0.6","X1","X1.1","X1.2","X1.3","X1.4","X1.5","LogFC","Zstatistic","pVal","BHpVal"
"1602",43,"sp|P11686|PSPC_HUMAN",20.2136960654124,20.1835804172243,19.8456867060899,19.6180014152329,19.815954612267,19.9900010935739,20.0858507543421,14.974991475252,15.4181641128284,16.1847085874127,16.4104829933209,15.73002511646,15.4075250081061,-4.27613813352957,-19.0142611923355,1.29954654956962e-80,3.59844439575828e-77
"2766",110,"sp|P33993|MCM7_HUMAN",16.2991338907904,16.5277413180278,16.4504192437798,16.601806664329,16.5064321437224,16.613870898088,16.9441954431065,18.7097328389024,18.7630241938557,18.4277289345245,18.392873327832,18.6825056082499,18.6291993874911,2.0326400710238,15.7437525861361,7.58113515663861e-56,1.04960816243662e-52
"2173",82,"sp|Q13162|PRDX4_HUMAN",19.5955867343569,19.700259866923,19.957951004872,19.644321054417,19.7417254573073,19.6420412548678,19.3383776291903,21.3994245181997,21.4717472103322,22.0285610574687,21.8974433334827,21.9803535176526,21.9737560760554,2.14061789976155,14.9554961443462,1.43408919126856e-50,1.32366432354088e-47
"1271",41,"sp|Q13228|SBP1_HUMAN",25.0614899983815,25.0683172521138,24.9304056425001,24.8238905678691,24.8079151417725,24.8343863423144,25.4536835533771,22.6526823152092,22.6638886770786,23.2316104629154,23.0917090084778,22.744236822747,22.7834490439503,-2.14469143143224,-14.2405718322121,5.13055096840366e-46,3.55162390787743e-43
"2106",15,"sp|P41252|SYIC_HUMAN",18.4099743557393,18.3620029578339,18.1622751143657,18.4385739638669,18.2698677314045,18.3934815144367,18.3428764975683,20.3613752800352,20.2883768909082,19.8182738956808,19.8061637637598,19.810667841232,20.0785918704547,1.69173845602484,13.6318116155047,2.59068318396114e-42,1.43472034727768e-39
"112",112,"sp|P35241|RADI_HUMAN",19.3804032657929,19.4537111244283,19.8239331165265,19.9671835666414,19.6905709126329,19.5687514968416,19.3043729344199,18.0305413967415,18.066461907307,17.9498068199555,17.9155357324922,17.882799460817,18.0269801644942,-1.63122441929724,-13.5752561168454,5.6147098579728e-42,2.59118859945445e-39
"294",68,"sp|Q03135|CAV1_HUMAN;sp|P56539|CAV3_HUMAN",22.0649168792112,22.838210671167,21.9336230617373,22.0749395575984,21.9885680856852,22.132129035763,22.2049093031019,19.4073781855334,19.0245274495041,19.5214716627337,19.6186209983989,20.0739733912443,19.8871889066865,-2.58522689481169,-13.4644099354497,2.53333891519596e-41,1.00211649373966e-38
"1646",88,"sp|Q8NFJ5|RAI3_HUMAN",19.9129707382614,19.6979811061928,20.7739126588283,20.848551323376,20.6521912431572,20.9751145351221,19.2804379008595,16.4861204258618,16.6049387235392,16.6735301581226,16.8575314214495,16.5791178096475,16.6760126844152,-3.65212258756966,-13.2316971676022,5.7572489799071e-40,1.99272780317034e-37
"1203",86,"sp|P22748|CAH4_HUMAN",17.2187548207767,17.6369385249306,16.9184703689757,16.8321720373094,17.1745793998291,17.2902200031252,17.9358692107327,13.4065009923313,13.9710218260997,13.2528127823107,13.2088167589762,14.3270524174549,14.4135901749586,-3.53142514873675,-13.0395350660665,7.29002325675146e-39,2.2428971553272e-36
"1431",89,"sp|P08174|DAF_HUMAN",17.0816291836892,17.0660108945787,17.3362259742772,17.5763254201071,17.5044519175944,17.4115466158763,16.6418211584573,15.4244119261186,15.2446273142954,14.9989097426419,15.2755985541422,15.1931428094757,15.1132959161619,-2.03136551407144,-13.0121171315082,1.04408788971101e-38,2.89107936660979e-36
"549",100,"sp|Q15847|ADIRF_HUMAN",21.160968241225,21.1181433409859,21.3269021983802,21.3102836617937,21.2945931629953,21.3857696017907,21.2058059812013,18.3364852319856,18.4285164873417,18.356305614684,18.4874660747885,19.3854918305838,19.1358758677628,-2.57912491575837,-12.4980213502842,7.65324821795964e-36,1.92653130141184e-33
"1274",44,"sp|Q7KZF4|SND1_HUMAN",21.0345120401654,21.1909892510361,21.1343878915002,21.0370018293715,21.2538002676309,21.1115298422888,21.2026423416742,22.186817518375,22.1360179391945,22.3284466027548,22.3930658371449,22.530928166513,22.5258482719828,1.21421477830567,12.1533407803268,5.50684730780708e-34,1.27070501627648e-31
