"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"1",21,"AI-G",1e-06,0,1,0,1,21
"2",36,"AI-G",2e-06,3,1,3,7,36
"3",49,"AI-G",3e-06,33,4,0,37,49
"4",75,"AI-G",4e-06,42,1,2,45,75
"5",77,"AI-G",5e-06,43,1,4,48,77
"6",84,"AI-G",6e-06,54,1,6,61,84
"7",94,"AI-G",7e-06,53,0,4,57,94
"8",98,"AI-G",8e-06,51,0,4,55,98
"9",107,"AI-G",9e-06,58,0,9,67,107
"10",117,"AI-G",1e-05,59,0,6,65,117
"11",165,"AI-G",2e-05,54,0,8,62,165
"12",198,"AI-G",3e-05,57,0,4,61,198
"13",233,"AI-G",4e-05,50,9,9,68,233
"14",254,"AI-G",5e-05,46,6,10,62,254
"15",286,"AI-G",6e-05,62,13,10,85,286
"16",301,"AI-G",7e-05,58,13,9,80,301
"17",317,"AI-G",8e-05,61,14,11,86,317
"18",333,"AI-G",9e-05,60,13,11,84,333
"19",339,"AI-G",1e-04,56,14,11,81,339
"20",446,"AI-G",2e-04,67,16,9,92,446
"21",514,"AI-G",3e-04,73,21,10,104,514
"22",559,"AI-G",4e-04,74,22,14,110,559
"23",604,"AI-G",5e-04,77,22,11,110,604
"24",645,"AI-G",6e-04,80,24,21,125,645
"25",682,"AI-G",7e-04,83,18,19,120,682
"26",721,"AI-G",8e-04,91,21,21,133,721
"27",766,"AI-G",9e-04,86,18,22,126,766
"28",782,"AI-G",0.001,85,18,21,124,782
"29",982,"AI-G",0.002,94,18,23,135,982
"30",1108,"AI-G",0.003,103,16,30,149,1108
"31",1176,"AI-G",0.004,109,24,29,162,1176
"32",1253,"AI-G",0.005,95,19,29,143,1253
"33",1326,"AI-G",0.006,86,24,27,137,1326
"34",1374,"AI-G",0.007,90,23,24,137,1374
"35",1433,"AI-G",0.008,81,23,25,129,1433
"36",1457,"AI-G",0.009,76,20,24,120,1457
"37",1493,"AI-G",0.01,88,18,26,132,1493
"38",1725,"AI-G",0.02,84,16,27,127,1725
"39",1881,"AI-G",0.03,88,19,23,130,1881
"40",1991,"AI-G",0.04,88,21,22,131,1991
"41",2058,"AI-G",0.05,87,21,19,127,2058
"42",2113,"AI-G",0.06,79,24,18,121,2113
"43",2173,"AI-G",0.07,75,20,16,111,2173
"44",2213,"AI-G",0.08,73,14,13,100,2213
"45",2253,"AI-G",0.09,68,18,13,99,2253
"46",2285,"AI-G",0.1,59,16,14,89,2285
