"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"1","sp|Q9P258|RCC2_HUMAN","5.799694e+04","1.070507e+05","1.763141e+05","1.522665e+05","1.808309e+05","1.752615e+05","3.515017e+04","1.102605e+06","1.012678e+06","1.055716e+06","1.076529e+06","1.131262e+06","1.004779e+06","5.29410861852432e-12","1.48976216525274e-08"
"2","sp|P00338|LDHA_HUMAN;sp|Q6ZMR3|LDH6A_HUMAN","2.613410e+06","2.994714e+06","3.984869e+06","4.131492e+06","6.376423e+06","5.978089e+06","2.262036e+06","2.944586e+07","2.808803e+07","2.744840e+07","2.562199e+07","2.974728e+07","2.763537e+07","1.85022664484003e-11","2.60326888928992e-08"
"3","sp|P62191|PRS4_HUMAN","1.301031e+05","1.453682e+05","1.926303e+05","2.040471e+05","2.096033e+05","2.014062e+05","8.321992e+04","7.293105e+05","7.978317e+05","7.715142e+05","8.464952e+05","7.599061e+05","7.780120e+05","4.34891298012082e-11","4.07928037535333e-08"
"4","sp|P28066|PSA5_HUMAN","3.158635e+05","3.573191e+05","5.397548e+05","5.188996e+05","4.658041e+05","4.549804e+05","3.108954e+05","1.542654e+06","1.583100e+06","1.517172e+06","1.496883e+06","1.540822e+06","1.367725e+06","1.26018273909478e-10","8.8653855695318e-08"
"5","sp|Q06210|GFPT1_HUMAN;sp|O94808|GFPT2_HUMAN","3.081582e+05","3.050295e+05","4.387490e+05","4.016466e+05","4.553706e+05","4.560548e+05","2.559646e+05","1.807352e+06","1.906873e+06","1.693023e+06","1.697492e+06","1.780264e+06","1.610775e+06","3.34934172752122e-10","1.88500952424894e-07"
"6","sp|P14314|GLU2B_HUMAN","9.735917e+05","1.232630e+06","2.099386e+06","1.649574e+06","2.445534e+06","2.238883e+06","7.391103e+05","8.419391e+06","7.992107e+06","8.699524e+06","9.008041e+06","8.108919e+06","7.952606e+06","5.19885591802624e-10","2.12473100068157e-07"
"7","sp|P20700|LMNB1_HUMAN","8.139454e+05","8.558946e+05","1.282470e+06","1.044485e+06","1.751671e+06","1.780823e+06","4.151760e+05","6.765437e+06","6.587385e+06","6.035252e+06","6.581418e+06","6.549669e+06","6.096248e+06","5.28540049920788e-10","2.12473100068157e-07"
"8","sp|P33993|MCM7_HUMAN","2.904324e+04","3.853530e+04","6.303147e+04","6.167569e+04","8.965636e+04","9.314886e+04","2.446436e+04","8.408273e+05","8.544584e+05","7.527550e+05","7.386915e+05","8.031324e+05","7.899689e+05","6.54871141520672e-10","2.30350924029896e-07"
"9","sp|P13639|EF2_HUMAN","4.460287e+06","5.344042e+06","6.967673e+06","6.237515e+06","1.153894e+07","1.074210e+07","2.022231e+06","4.355816e+07","4.008679e+07","4.041482e+07","4.133680e+07","4.426107e+07","4.395454e+07","7.48314590868466e-10","2.33973028744874e-07"
