0	1	1	1	1	2	2	2
Accession	AP2_2h_1uL	AP3_2h_1uL	AP4_2h_1uL	AP1_2h_1uL	NP2_2h_1uL	NP3_2h_1uL	NP4_2h_1uL
1::Q61805	8402958.907	6741006.983	6325918.97	10604976.02	1522497.362	1266519.515	732288.5827
1::P05367	441327.2474	446241.5373	309098.9144	429243.2819	2914.91656	1180.630744	3527.850054
1::P05017	6186756.658	5030537.85	5434239.816	7585853.24	13201869.41	10813449.13	6965150.892
1::Q62151	2098.151596	2696.669772	2132.413307	3221.704346	22241.14324	65726.66269	35752.84872
1::P20033	33421.45817	36993.06213	32316.86893	40513.016	73858.43867	91514.45589	54200.54725
1::Q8K0C5	114273.1367	73150.83371	125055.2833	218001.5628	21176.25699	31086.28861	18968.51144
1::P47877	560504.1098	406105.8844	591836.6883	829095.4328	1833794.537	1280897.021	1082574.6
1::P18419	10660069.96	1569499.655	10233706.33	21782167.73	179293.9928	200559.967	72733.25829
1::P05366	527816.357	505580.3286	361110.3326	566853.4173	61547.64977	17877.46869	58643.14018
1::P48787	58603.21934	67406.88497	65970.67248	58962.3405	20360.45748	18320.57023	4793.83037
1::P50752	126395.1569	165494.5786	100907.9278	105783.353	59062.90904	33964.12084	21427.1518
1::P27656	750329.1285	613973.4159	749852.4731	973211.776	1922895.65	1381352.381	830484.5708
1::Q61646	316120.6794	167268.1863	329646.7606	380450.0107	44102.97572	4348.740087	10995.60296
1::Q91X72	69781.29638	45838.43301	76638.10808	105432.5068	38273.78798	30090.5292	23620.14695
1::P10922	19855.13155	17297.89105	20013.85242	27130.74048	3478.436747	6036.218197	729.1069946
1::Q9DBB9	1705979.018	2508781.346	2553930.63	3724514.996	7073989.062	6840548.822	3676349.299
1::P98064	163335.9993	170224.1906	205962.0261	274834.1107	402783.9012	334746.8261	301041.8589
1::P05208	18811.15778	21198.06307	26878.58594	54232.2718	852.7757346	4646.627525	3116.366342
1::O08692	518168.7231	274434.6933	307212.9291	570996.471	214431.1085	60350.03302	56513.03365
1::Q8CEF9	3185.366196	878.8022394	1611.686162	6704.709891	17105.77267	17478.97136	13024.47515
1::Q61581	298394.2012	296817.2481	360403.63	374459.563	512304.3105	639654.3031	386679.9967
1::O89053	6614.122485	5589.979233	7030.532463	12418.55742	38705.06135	14866.27795	14816.58553
1::P21570	1151053.063	951706.348	1198133.209	1413431.109	443156.7385	651294.8883	532075.4354
1::Q9DD06	1089024.993	1060513.79	1106609.278	1411193.927	1728625.624	2030088.74	1053464.565
1::P32921	98266.46477	76809.93578	70306.49177	131971.8177	45374.06971	67901.38152	26796.84314
1::P31532	473928.3471	152451.955	154771.09	379562.4922	101569.6351	59316.78416	67744.45784
1::P31725	36333.58241	128694.5426	52189.14927	298579.7402	23966.45906	7805.989159	7009.041562
1::Q8QZT1	61392.99469	48765.63695	57564.12146	106813.5523	42672.78383	39262.98624	14651.1616
1::P70274	330240.3538	305628.6526	368813.5402	384997.6462	661519.032	462543.7117	553701.4918
1::P11247	190386.731	141492.5573	185516.7025	263524.1352	175363.4614	106771.428	66632.81406
1::P48678	21341.85663	20930.45741	28272.46518	31873.41021	51897.24355	36788.76927	25364.72085
1::Q9JKR6	279537.2105	245828.6648	256117.6203	348543.9462	190624.0392	243661.0174	162117.5663
1::Q64487	350762.3782	381805.3577	468233.2696	513176.5293	609662.0266	790305.9267	503891.4589
1::Q6ZWY9	535011.6211	375061.7027	479444.951	563793.848	282300.9784	290724.15	60904.56629
1::Q9JM99	5623502.573	5061053.303	4640184.347	7371773.54	1030675.029	3808597.542	1706040.252
1::Q8BH64	44935.2085	79001.14131	56495.38012	46021.12304	8464.903485	37841.6727	8638.86791
1::Q9JJH1	6711318.953	5942331.179	7390345.649	10221231.38	4551384.498	5526953.367	4303577.864
1::P26262	36319493.22	30462522.61	37780701.68	52177528.12	79175820.61	55102091.59	32978138.71
1::O70410	700468.0305	347148.3871	139307.4887	646341.1163	113161.4738	52039.26768	128061.0235
1::O88803	62984.79524	73619.60928	123415.1488	130559.7652	154571.9657	250570.4129	154336.8662
1::P97430	2615775.44	2835183.797	2873272.773	3324739.815	4146550.455	6231976.998	2732833.573
1::Q62009	396283.7991	223165.7296	167930.6305	454634.797	769045.6762	553351.553	327311.9335
1::P09535	137723.8584	194796.7568	141979.9778	197254.4449	354099.3414	227410.9166	157178.6735
1::Q6YGZ1	19270.49379	19882.7791	17884.98804	17037.40049	51828.5648	91928.35165	17049.99394
1::Q8BGD9	27115.81167	19957.32017	18802.51457	31367.24655	30652.7056	55209.22092	30439.83086
1::Q71KU9	8992.645242	3907.029741	9219.309805	5794.664064	5320.596291	304.3736877	190.7259667
1::P01867	36476.13227	49159.28225	33895.24773	32250.13386	154601.1788	54351.48871	53424.62912
1::Q6ZWN5	44441.59762	20889.96847	17489.00236	116652.773	19547.88636	8491.582694	5096.040087
1::Q8BK62	79159.72641	95348.37592	113222.2651	134825.936	150856.1851	225147.5063	111338.0121
1::Q99PL5	25131.42587	14637.00979	28928.12904	40257.44752	11247.96214	15747.05318	1831.529106
1::Q9CZU6	823596.9889	703372.1807	774640.4958	1132549.309	786187.3444	586022.3868	212823.0351
1::P32261	921598302	646792967.9	583321632.7	908271656.1	1140192606	1383409812	628450451.7
